task_key,task_code,title,path,base_status,final_status,session_completed,commit_count,completion_commit,completion_committed_at,completion_subject
p0-01-current-competition,P0-01,P0-01 — Make 2026/27 the current Bundesliga competition,plans/bundesliga-2026-27/tasks/p0-01-current-competition.md,Complete,Complete,False,0,,,
p0-02-competition-scoped-storage,P0-02,P0-02 — Require competition-scoped persistence,plans/bundesliga-2026-27/tasks/p0-02-competition-scoped-storage.md,Complete,Complete,False,0,,,
p0-03-matchday-completion,P0-03,P0-03 — Fix Bundesliga matchday completion,plans/bundesliga-2026-27/tasks/p0-03-matchday-completion.md,Complete,Complete,False,0,,,
p0-04-team-manifest,P0-04,P0-04 — Create the 18-team join manifest,plans/bundesliga-2026-27/tasks/p0-04-team-manifest.md,Complete,Complete,False,0,,,
p0-05-prompt-route,P0-05,P0-05 — Establish the 2026/27 prompt route,plans/bundesliga-2026-27/tasks/p0-05-prompt-route.md,Not started,Complete,True,4,63058c0bed7a05c340fad3c8da05a8f57e734967,2026-08-21T17:16:48+02:00,docs: close Bundesliga prompt route
p0-06-model-ledger-and-cost-baseline,P0-06,P0-06 — Pin the model ledger and launch cost baseline,plans/bundesliga-2026-27/tasks/p0-06-model-ledger-and-cost-baseline.md,Not started,"Complete — ADR-0052 records the Owner-selected production identity, arena matrix, planning ceiling, and match-prompt successor",True,15,c9dd22e918bdd1547aff06567271cf8c09be6b28,2026-08-27T08:33:06+02:00,Close Bundesliga P0 model and workflow preparation
p0-07-roster-contract,P0-07,P0-07 — Define roster seed and document contracts,plans/bundesliga-2026-27/tasks/p0-07-roster-contract.md,Complete,Complete,False,0,,,
p0-08-roster-membership-seed,P0-08,P0-08 — Author the roster membership seed,plans/bundesliga-2026-27/tasks/p0-08-roster-membership-seed.md,Complete,Complete,False,0,,,
p0-09-roster-collector,P0-09,P0-09 — Implement roster enrichment and collection,plans/bundesliga-2026-27/tasks/p0-09-roster-collector.md,Complete,Complete,False,0,,,
p0-10-club-elo-source,P0-10,P0-10 — Accept an operational Club Elo source,plans/bundesliga-2026-27/tasks/p0-10-club-elo-source.md,Complete,Complete,False,0,,,
p0-11-club-elo-collector,P0-11,P0-11 — Implement Club Elo collection,plans/bundesliga-2026-27/tasks/p0-11-club-elo-collector.md,Complete,Complete,False,0,,,
p0-12-match-context-and-transfer-retirement,P0-12,P0-12 — Replace transfer context in the match contract,plans/bundesliga-2026-27/tasks/p0-12-match-context-and-transfer-retirement.md,Complete,Complete,False,0,,,
p0-13-bonus-context-baseline,P0-13,P0-13 — Establish competition-aware bonus context,plans/bundesliga-2026-27/tasks/p0-13-bonus-context-baseline.md,Not started,Complete,True,1,870701dc7fcb59c1d4a82c69ea497bdf437ed9a5,2026-08-21T16:17:54+02:00,feat: select Bundesliga bonus context
p0-14-profile-driven-collection,P0-14,P0-14 — Make collection profile-driven,plans/bundesliga-2026-27/tasks/p0-14-profile-driven-collection.md,Not started,Complete,True,4,c5153bdd7fffd036eb9101ccdfbb84f998ef1792,2026-08-21T20:44:35+02:00,docs: close profile-driven collection
p0-15-context-document-hygiene,P0-15,P0-15 — Clean the live context-document contract,plans/bundesliga-2026-27/tasks/p0-15-context-document-hygiene.md,Not started,Complete,True,3,6901bc7c59b67da2aa05c88e5938d6ec679daa79,2026-08-21T22:00:42+02:00,docs: close P0 context hygiene
p0-16-question-aware-bonus-context,P0-16,P0-16 — Add question-aware bonus context budgeting,plans/bundesliga-2026-27/tasks/p0-16-question-aware-bonus-context.md,Not started,Complete,True,4,fe48c8270320efd1d1c27d042cbea5bfa3ca708d,2026-08-21T23:05:39+02:00,feat: bound Bundesliga bonus context
p0-17-community-scope,P0-17,P0-17 — Record community and environment scope,plans/bundesliga-2026-27/tasks/p0-17-community-scope.md,Not started,Complete,True,5,5b231f252931a6b7d5d4ccc281ebd510259070bf,2026-08-21T23:52:14+02:00,Close Bundesliga community scope
p0-18-base-workflow-support,P0-18,P0-18 — Add Bundesliga support to reusable workflows,plans/bundesliga-2026-27/tasks/p0-18-base-workflow-support.md,Not started,Complete,True,4,481fac53bb1a6bf0d8b3c651d2179c11efad0bc9,2026-08-22T00:38:33+02:00,Close Bundesliga reusable workflow support
p0-19-arena-luna-medium-self-contained-workflow-triad,P0-19,P0-19 — Add the self-contained arena Luna/medium workflow triad,plans/bundesliga-2026-27/tasks/p0-19-arena-luna-medium-self-contained-workflow-triad.md,,Complete — the leaf triad remains manual-only and schedule-free while ADR-0053's outer lane owns the active recurring schedule,True,4,c9dd22e918bdd1547aff06567271cf8c09be6b28,2026-08-27T08:33:06+02:00,Close Bundesliga P0 model and workflow preparation
p0-19-arena-luna-self-contained-workflow-triad,P0-19,P0-19 — Add the self-contained Luna arena workflow triad,plans/bundesliga-2026-27/tasks/p0-19-arena-luna-self-contained-workflow-triad.md,,Complete,True,7,1dc299af17819a36ff8679874dcd1fd27b741b34,2026-08-25T00:30:08+02:00,Close Bundesliga arena workflow triad
p0-19-arena-production-copy-workflow-triad,P0-19,P0-19 — Add the arena production-copy workflow triad,plans/bundesliga-2026-27/tasks/p0-19-arena-production-copy-workflow-triad.md,,Complete — the manual copy triad and audit are green; the leaf stays schedule-free while ADR-0053's outer lane owns the active recurring schedule,True,7,89b875125fdae207b6f6f72cff8f968a718b112f,2026-08-27T12:03:21+02:00,Reconcile P0 live-validation evidence
p0-19-arena-sol-high-self-contained-workflow-triad,P0-19,P0-19 — Add the self-contained arena Sol/high workflow triad,plans/bundesliga-2026-27/tasks/p0-19-arena-sol-high-self-contained-workflow-triad.md,,Complete — the leaf triad remains manual-only and schedule-free while ADR-0053's outer lane owns the active recurring schedule,True,4,c9dd22e918bdd1547aff06567271cf8c09be6b28,2026-08-27T08:33:06+02:00,Close Bundesliga P0 model and workflow preparation
p0-19-arena-terra-xhigh-self-contained-workflow-triad,P0-19,P0-19 — Add the self-contained arena Terra/xhigh workflow triad,plans/bundesliga-2026-27/tasks/p0-19-arena-terra-xhigh-self-contained-workflow-triad.md,,Complete — the leaf triad remains manual-only and schedule-free while ADR-0053's outer lane owns the active recurring schedule,True,4,c9dd22e918bdd1547aff06567271cf8c09be6b28,2026-08-27T08:33:06+02:00,Close Bundesliga P0 model and workflow preparation
p0-19-community-workflow-triad,P0-19,P0-19 — Add one community workflow triad,plans/bundesliga-2026-27/tasks/p0-19-community-workflow-triad.md,Template — copy once per selected community,Template — copy once per selected community,False,3,,,
p0-19-pes-squad-production-reference-workflow-triad,P0-19,P0-19 — Add the `pes-squad` production-reference workflow triad,plans/bundesliga-2026-27/tasks/p0-19-pes-squad-production-reference-workflow-triad.md,,Complete — the exact leaf triad remains manual-only and schedule-free while ADR-0053's outer lane owns the active recurring schedule,True,9,c9dd22e918bdd1547aff06567271cf8c09be6b28,2026-08-27T08:33:06+02:00,Close Bundesliga P0 model and workflow preparation
p0-19-relaxdays-production-copy-workflow-triad,P0-19,P0-19 — Add the `relaxdays-tippt` production-copy workflow triad,plans/bundesliga-2026-27/tasks/p0-19-relaxdays-production-copy-workflow-triad.md,,Complete — the leaf triad remains manual-only and schedule-free while ADR-0053's outer lane owns the active recurring schedule,True,5,c9dd22e918bdd1547aff06567271cf8c09be6b28,2026-08-27T08:33:06+02:00,Close Bundesliga P0 model and workflow preparation
