task_key,task_code,title,path,base_status,final_status,session_completed,commit_count,completion_commit,completion_committed_at,completion_subject
p1-03-generic-onboarding-skill,P1-03,P1-03 — Extract generic competition onboarding tooling,plans/bundesliga-2026-27/tasks/p1-03-generic-onboarding-skill.md,Complete,Complete,False,0,,,
p1-04-club-elo-refresh,P1-04,P1-04 — Schedule Club Elo refreshes,plans/bundesliga-2026-27/tasks/p1-04-club-elo-refresh.md,Not started,Not started,False,0,,,
p1-05-roster-refresh,P1-05,P1-05 — Refresh quality-gated DuckDB roster membership,plans/bundesliga-2026-27/tasks/p1-05-roster-refresh.md,Not started,Not started,False,0,,,
p1-06-observability-datasets,P1-06,P1-06 — Generalize observability datasets for 2026/27,plans/bundesliga-2026-27/tasks/p1-06-observability-datasets.md,Not started,Not started,False,0,,,
p1-07-cost-calibration,P1-07,P1-07 — Calibrate whole-season cost from live evidence,plans/bundesliga-2026-27/tasks/p1-07-cost-calibration.md,Not started,Not started,False,0,,,
p1-08-schadensfresse-mixed-competition-routing,P1-08,P1-08 — Route schadensfresse mixed-competition predictions,plans/bundesliga-2026-27/tasks/p1-08-schadensfresse-mixed-competition-routing.md,Superseded by [P1-10](p1-10-schadensfresse-primary-community.md),Superseded by [P1-10](p1-10-schadensfresse-primary-community.md),False,0,,,
p1-09-current-open-matchday-context,P1-09,P1-09 — Reconcile current open matchday context,plans/bundesliga-2026-27/tasks/p1-09-current-open-matchday-context.md,Complete,Complete,False,0,,,
p1-10-schadensfresse-primary-community,P1-10,P1-10 — Convert schadensfresse to a subcompetition-typed primary community,plans/bundesliga-2026-27/tasks/p1-10-schadensfresse-primary-community.md,In progress; remaining work requires restarted ADR-0061 intake,"In progress; recovery runtime is frozen, target-primary completion remains an atomic future PR",False,5,,,
p1-11-langfuse-v4-migration,P1-11,P1-11 — Migrate the Langfuse project to v4,plans/bundesliga-2026-27/tasks/p1-11-langfuse-v4-migration.md,Not started,Not started,False,0,,,
p1-12-standings-reprediction-exemption,P1-12,P1-12 — Exempt standings-only changes from repredictions,plans/bundesliga-2026-27/tasks/p1-12-standings-reprediction-exemption.md,Complete — automated and isolated `ehonda-dev-buli-2627` evidence confirms the standings-only exemption and fail-closed non-exempt behavior; production configuration was not changed,Complete — automated and isolated `ehonda-dev-buli-2627` evidence confirms the standings-only exemption and fail-closed non-exempt behavior; production configuration was not changed,False,0,,,
